,Title,Description,Publish_Time,Link
0,HLV Phan Thanh Hùng bất ngờ từ chức vì bệnh tim,HLV Phan Thanh Hùng đã bất ngờ từ chức ở CLB Bình Dương vì lý do bị bệnh tim.,1 giờ trước,/the-thao/hlv-phan-thanh-hung-bat-ngo-tu-chuc-vi-benh-tim-20210414175613411.htm
1,"Cà Mau: Giận bạn, giận người thân, 2 trẻ vị thành niên tự tử","Ngày 14/3, thông tin từ Bệnh viện Sản  Nhi Cà Mau cho biết, vừa qua bệnh viện đã tiếp nhận và cứu kịp thời 2 trẻ thành niên tự tử.",1 giờ trước,/suc-khoe/ca-mau-gian-ban-gian-nguoi-than-2-tre-vi-thanh-nien-tu-tu-20210414150415409.htm
2,"HLV Kim Huệ phản pháo ""án phạt lạ"", Liên đoàn bóng chuyền nói điều bất ngờ","Vụ lùm xùm liên quan tới HLV Kim Huệ cùng 3 học trò bị kỷ luật mức ""cảnh cáo"" từ Liên đoàn bóng chuyền Việt Nam (VFV) đang làm nóng dư luận. Đại diện VFV cũng đã chính thức lên tiếng về việc này.",2 giờ trước,/the-thao/hlv-kim-hue-phan-phao-an-phat-la-lien-doan-bong-chuyen-noi-dieu-bat-ngo-20210414155427854.htm
3,"Đại sứ Myanmar tại Anh lên tiếng sau khi bị ""cấm cửa"" vào sứ quán",Đại sứ Myanmar tại Anh mới bị chính quyền quân sự miễn nhiệm cho biết ông cảm thấy không an toàn ở London trong khi người thân ở quê nhà cũng lo sợ bị trả thù.,2 giờ trước,/the-gioi/dai-su-myanmar-tai-anh-len-tieng-sau-khi-bi-cam-cua-vao-su-quan-20210414162340431.htm
4,Tâm tư nặng trĩu của các bác sĩ khi nghỉ việc tại Bệnh viện Bạch Mai,"Theo chia sẻ của nhiều bác sĩ, việc xin nghỉ tại Bệnh viện Bạch Mai không phải do thu nhập, mà do thấy sự bất cập trong quản lý bệnh viện công theo mô hình doanh nghiệp.",2 giờ trước,/suc-khoe/tam-tu-nang-triu-cua-cac-bac-si-khi-nghi-viec-tai-benh-vien-bach-mai-20210414162449678.htm
5,Ấn Độ nghi Trung Quốc triển khai tên lửa gần biên giới,Trung Quốc được cho là đã triển khai các tổ hợp tên lửa đất đối không tới gần khu vực tranh chấp chủ quyền ở biên giới với Ấn Độ.,2 giờ trước,/the-gioi/an-do-nghi-trung-quoc-trien-khai-ten-lua-gan-bien-gioi-20210414153342211.htm
6,Cuộc đua tranh quyết liệt trong tìm kiếm nguồn vắc xin ngừa Covid-19,"Nói về những khó khăn, vướng mắc, rủi ro nảy sinh trong tiếp cận, đàm phán mua vắc xin, Bộ trưởng Y tế Nguyễn Thanh Long cho rằng, Việt Nam phải cố gắng hết sức để có vắc xin ngừa Covid19 sớm nhất.",2 giờ trước,/xa-hoi/cuoc-dua-tranh-quyet-liet-trong-tim-kiem-nguon-vac-xin-ngua-covid-19-20210414160842052.htm
7,"Cảnh sát giao thông ""tiếp tay"" xe quá tải","Một số cảnh sát giao thông, thanh tra giao thông thừa nhận quen biết Thới, Vân và giúp đỡ để bỏ qua một số lỗi vi phạm.",2 giờ trước,/phap-luat/canh-sat-giao-thong-tiep-tay-xe-qua-tai-20210414134242494.htm
8,"""Chảo lửa"" Ukraine tăng nhiệt, Nga tuyên bố quân đội ""sẵn sàng chiến đấu""",Các đơn vị của quân đội Nga sẵn sàng hành động trong trường hợp căng thẳng với phương Tây leo thang thành xung đột toàn diện.,3 giờ trước,/the-gioi/chao-lua-ukraine-tang-nhiet-nga-tuyen-bo-quan-doi-san-sang-chien-dau-20210414153041335.htm
9,VKSND Tối cao phát hiện những sai phạm nghiêm trọng trong 1 vụ thi hành án,VKSND Tối cao phát hiện nhiều sai phạm nghiêm trọng trong thi hành án liên quan đến nhà đất rộng 398m2 ở quận Tây Hồ (Hà Nội) và yêu cầu hủy toàn bộ quá trình tổ chức thi hành án để thực hiện lại.,3 giờ trước,/xa-hoi/vksnd-toi-cao-phat-hien-nhung-sai-pham-nghiem-trong-trong-1-vu-thi-hanh-an-20210414151106955.htm
10,Nguyên Chủ tịch TP Huế nói gì về việc giao đất cho nguyên Bí thư Thành ủy?,"""Tôi có nhận được đơn xin giao đất và chuyển cho Trung tâm Phát triển Quỹ đất TP Huế căn cứ theo quy định và văn bản hiện hành có thể cấp, tạo điều kiện thuận lợi cho gia đình anh Cư"".",3 giờ trước,/xa-hoi/nguyen-chu-tich-tp-hue-noi-gi-ve-viec-giao-dat-cho-nguyen-bi-thu-thanh-uy-20210414115604432.htm
11,Trung Quốc cảnh báo hành động quân sự ngăn Đài Loan xích lại gần Mỹ,"Trung Quốc tuyên bố sẽ ngăn Đài Loan xích lại gần Mỹ trong bối cảnh Washington cử phái đoàn ""không chính thức"" đến Đài Loan.",3 giờ trước,/the-gioi/trung-quoc-canh-bao-hanh-dong-quan-su-ngan-dai-loan-xich-lai-gan-my-20210414145600737.htm
12,Guardiola đứng trước thời khắc lịch sử tại Man City,"Pep Guardiola chưa từng đưa Man City tới bán kết Champions League, bởi thế người hâm mộ The Citizens đang kỳ vọng vào thầy trò Guardiola ở trận tứ kết lượt về trên sân Dortmund vào rạng sáng mai.",4 giờ trước,/the-thao/guardiola-dung-truoc-thoi-khac-lich-su-tai-man-city-20210414145450854.htm
13,Lần đầu tiên xét xử vụ án gây ô nhiễm môi trường ở TPHCM,"Theo cáo buộc, Vũ cùng đồng phạm đã chôn lấp trái phép 4.371 tấn chất thải ra môi trường.",4 giờ trước,/phap-luat/lan-dau-tien-xet-xu-vu-an-gay-o-nhiem-moi-truong-o-tphcm-20210414133719035.htm
14,"18 cơ quan tình báo Mỹ đồng loạt cảnh báo ""mối đe dọa Trung Quốc""",Trung Quốc bị coi là mối đe dọa lớn nhất đối với ảnh hưởng toàn cầu của Mỹ trong báo cáo của cơ quan tình báo Mỹ mới được công bố.,4 giờ trước,/the-gioi/18-co-quan-tinh-bao-my-dong-loat-canh-bao-moi-de-doa-trung-quoc-20210414140057396.htm
15,"Màn ""kèn cựa"" hết sức nguy hiểm giữa hai xe tải khiến nhiều người rùng mình","Sau khi vượt bất thành, hai tài xế xe tải đã có màn ""kèn cựa"" nhau hết sức nguy hiểm trên đường, khiến nhiều người chứng kiến phải rùng mình…",4 giờ trước,/o-to-xe-may/man-ken-cua-het-suc-nguy-hiem-giua-hai-xe-tai-khien-nhieu-nguoi-rung-minh-20210414134718852.htm
